Designator,Mid X,Mid Y,Rotation,Layer
C1,118.0,-101.0,0.0,bottom
C2,121.0,-101.0,180.0,bottom
C3,120.5,-104.0,90.0,bottom
C4,122.0,-104.0,90.0,bottom
C5,127.5,-107.5,180.0,bottom
J1,130.0,-103.6375,270.0,bottom
Q1,138.5,-107.0,0.0,bottom
R1,123.0,-106.5,0.0,bottom
R2,123.0,-109.0,0.0,bottom
R3,137.0,-103.5,180.0,bottom
R4,137.0,-102.0,180.0,bottom
R5,140.0,-103.5,0.0,bottom
R6,140.0,-102.0,0.0,bottom
R7,143.0,-103.5,0.0,bottom
R8,143.0,-102.0,0.0,bottom
U1,118.0,-103.5,270.0,bottom
U2,130.0,-107.5,90.0,top
