Designator,Mid X,Mid Y,Rotation,Layer
C1,229.0,-80.0,0.0,top
C10,107.0,-120.0,0.0,bottom
C11,108.0,-116.0,0.0,bottom
C12,106.045,-110.0,270.0,bottom
C13,99.5,-100.0,90.0,top
C2,154.432,-133.858,90.0,bottom
C3,173.99,-128.6245,90.0,top
C4,169.0,-147.0,270.0,top
C5,130.0,-135.1125,270.0,top
C6,121.54,-146.84,0.0,top
C7,118.0,-81.0,180.0,top
C8,118.0,-84.0,180.0,top
C9,69.215,-109.855,180.0,top
D1,186.0,-117.0,0.0,bottom
D10,102.0,-78.0,270.0,top
D11,73.0,-115.0,270.0,top
D12,70.0,-85.0,270.0,bottom
D13,68.0,-94.0,180.0,top
D14,68.0,-98.0,180.0,top
D15,68.0,-102.0,180.0,top
D16,68.0,-106.0,180.0,top
D17,96.5,-100.0,270.0,top
D18,190.0,-70.0,0.0,top
D2,184.0,-114.0,180.0,bottom
D3,200.0,-110.0,180.0,top
D4,225.0,-85.0,90.0,top
D5,175.0,-147.5,90.0,top
D6,121.0,-135.0,90.0,top
D7,114.0,-112.0,0.0,top
D8,124.0,-143.0,270.0,top
D9,118.0,-143.1125,270.0,top
J1,231.0,-100.0,270.0,bottom
J10,94.313,-122.313,225.0,bottom
J11,94.313,-77.687,315.0,bottom
J12,157.275,-77.525,0.0,top
J13,123.75,-123.45,0.0,top
J14,160.0,-85.5,0.0,top
J15,160.0,-114.5,180.0,top
J16,140.0,-114.5,180.0,top
J17,140.0,-85.5,0.0,top
J18,109.55,-102.25,270.0,top
J19,124.55,-86.75,270.0,top
J2,122.25,-105.0,0.0,top
J20,133.75,-77.55,180.0,top
J21,135.0,-145.0,0.0,top
J3,155.05,-143.71,90.0,bottom
J4,148.75,-80.15,0.0,top
J5,151.25,-119.85,180.0,top
J6,205.687,-122.313,135.0,bottom
J7,205.7961,-77.7961,45.0,bottom
J8,127.05,-103.75,270.0,top
J9,122.25,-95.0,0.0,top
JP2,85.0,-85.27,180.0,top
Q1,171.0,-91.44,180.0,top
Q2,168.0,-86.0,180.0,top
R1,223.0,-98.0,180.0,bottom
R10,181.61,-128.62,180.0,top
R11,124.46,-64.516,270.0,bottom
R12,176.784,-124.46,0.0,top
R13,118.445,-73.985,270.0,top
R14,121.62,-73.985,270.0,top
R15,125.984,-64.516,270.0,bottom
R16,175.0,-142.5,270.0,top
R17,172.72,-86.0825,270.0,bottom
R18,161.0,-147.0,90.0,bottom
R19,165.354,-147.066,90.0,bottom
R2,223.0,-102.0,180.0,bottom
R20,129.0,-132.1125,0.0,top
R21,114.0,-115.0,0.0,top
R22,123.0,-111.5,90.0,bottom
R23,118.0,-111.5,90.0,bottom
R24,127.0,-143.0,270.0,top
R25,120.905,-143.1125,90.0,top
R26,117.8625,-78.55,0.0,top
R27,102.5,-103.5,0.0,top
R28,102.5875,-98.5,0.0,top
R29,102.0,-81.9125,90.0,top
R3,193.0,-110.0,180.0,top
R30,75.0,-115.0,90.0,top
R31,209.0,-82.0,0.0,top
R32,209.0,-88.0,180.0,top
R33,99.0,-113.0,0.0,top
R34,99.0,-107.0,0.0,top
R35,99.0,-105.0,0.0,top
R36,72.0,-94.0,180.0,top
R37,72.0,-98.0,180.0,top
R38,72.0,-102.0,180.0,top
R39,72.0,-106.0,180.0,top
R4,200.5,-120.0,0.0,bottom
R40,112.7525,-104.5,180.0,top
R41,112.7525,-107.5,180.0,top
R42,96.5,-104.0,90.0,top
R43,190.0,-65.0,180.0,top
R44,196.85,-76.2,0.0,top
R5,229.0,-91.0,0.0,top
R6,196.0,-72.5,90.0,bottom
R7,126.5,-92.0,180.0,top
R8,130.5,-93.0,270.0,top
R9,127.508,-64.516,270.0,bottom
RV1,80.0,-90.0,0.0,top
RV2,90.0,-90.0,0.0,top
RV3,80.0,-100.0,0.0,top
RV4,90.0,-100.0,0.0,top
RV5,80.0,-110.0,0.0,top
SW1,231.0,-115.0,90.0,bottom
SW2,218.81,-117.54,180.0,top
SW3,231.0,-85.0,90.0,bottom
SW4,69.0,-115.0,270.0,bottom
SW5,215.0,-100.0,180.0,top
SW6,212.565,-82.46,0.0,top
SW7,88.725,-113.7675,90.0,top
U1,190.0,-92.71,270.0,top
U2,114.0,-67.0,90.0,top
U3,118.445,-67.0,90.0,bottom
U4,170.18,-127.0,0.0,bottom
U5,121.0,-135.0,0.0,bottom
U6,109.0,-82.0,90.0,bottom
U7,107.0,-120.0,270.0,top
U8,106.045,-110.0,180.0,top
Y1,112.0,-131.55,270.0,bottom
Y2,115.5,-88.725,0.0,bottom
