Designator,Footprint,Quantity,Value,LCSC Part #
D1,0805,1,D_Schottky,
D2,0805,1,D_Schottky,
D3,LED_SMLE13WBC8W1,1,LED_PWR,
D4,LED_SMLE13WBC8W1,1,LED,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
J2,PinHeader_2x20_P2.54mm_Vertical_SMD,1,Wio Terminal,
J3,JSTB4B-ZR,1,UART,
J4,Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,1,pin_test,
J5,JSTB4B-ZR,1,NEO PIXEL,
J6,JSTB6B-ZR,1,to main,
J7,JSTB4B-ZR,1,I2C_0,
R1,0603,1,10k,
R2,0603,1,5.1K,
R3,0603,1,5.1K,
R4,0603,1,1K,
R5,0603,1,10k,
R6,0603,1,10k,
R7,0603,1,470,
R8,0603,1,10k,
R9,0603,1,10k,
SW1,Panasonic_EVQPUJ_EVQPUA,1,BOOTSET,C318936
SW2,Panasonic_EVQPUJ_EVQPUA,1,RESET,C318936
SW3,Panasonic_EVQPUJ_EVQPUA,1,M1n_RST,C318936
U1,RP2040_Stamp_SMD,1,RP2040_Stamp,
"U2, U3, U4, U5, U6",M1n-break,5,M1n-break,
