Designator,Mid X,Mid Y,Rotation,Layer
D1,135.0,-76.0,270.0,bottom
D2,130.0,-75.0,180.0,bottom
D3,150.0,-58.0,0.0,bottom
D4,130.0,-61.0,0.0,bottom
J1,150.0,-136.0,180.0,bottom
J2,150.0,-92.5,90.0,top
J3,136.75,-135.95,180.0,bottom
J4,180.0,-136.0,180.0,bottom
J5,124.55,-67.75,90.0,bottom
J6,146.25,-105.45,180.0,bottom
J7,175.45,-72.25,270.0,bottom
R1,140.0,-129.0,90.0,bottom
R2,152.0,-125.0,90.0,bottom
R3,148.0,-125.0,90.0,bottom
R4,150.0,-62.0,0.0,bottom
R5,146.0,-99.0,90.0,bottom
R6,150.0,-101.0,90.0,bottom
R7,134.0,-61.0,0.0,bottom
R8,167.0,-50.0,0.0,bottom
R9,167.0,-54.0,0.0,bottom
SW1,160.0,-138.0,0.0,bottom
SW2,170.0,-138.0,0.0,bottom
SW3,130.0,-138.0,0.0,bottom
U1,150.02,-60.0,180.0,top
U2,142.8127,-90.99,90.0,bottom
U3,142.8127,-119.99,90.0,bottom
U4,157.1873,-91.01,270.0,bottom
U5,157.1873,-120.01,270.0,bottom
U6,150.01,-44.1873,180.0,bottom
