Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1u,
D1,0603,1,RSSI,
D2,0603,1,RX,
D3,0603,1,TX,
J1,PinHeader_1x05_P1.27mm_Vertical,1,IMU_in,
J2,PinHeader_1x01_P2.54mm_Vertical,1,N.C.,
J3,PinSocket_1x04_P2.54mm_Vertical,1,XBee,
J4,PinSocket_1x04_P2.54mm_Vertical,1,IMU,
JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,Jumper_2_Bridged,
R1,0603,1,470,
R2,0603,1,10k,
R3,0603,1,10k,
R4,0603,1,470,
R5,0603,1,10k,
R6,0603,1,10k,
R7,0603,1,470,
SW1,THAU13-AB-R,1,Reset,
U1,XBEE-S2C,1,XBEE-S2C,
U2,SOT-89-3,1,XC6216D_SOT89,
